AX, Australian Stock Exchange
AS, Amsterdam Stock Exchange
ATVI, Activision Blizzard Inc	 
ADBE, Adobe Systems Incorporated	 
AKAM, Akamai Technologies Inc. 
ALXN, Alexion Pharmaceuticals Inc.
ALTR, Altera Corporation
AMZN, Amazon.com Inc.	 
AMGN, Amgen Inc.
ADI, Analog Devices Inc.
AAPL, Apple Inc.	 
AMAT, Applied Materials Inc.	 
ADSK, Autodesk Inc.	 
ADP, Automatic Data Processing Inc.	 	 
AVGO, Avago Technologies Limited	 
BIDU, Baidu Inc.	 
BBBY, Bed Bath & Amp								 
BIIB, Biogen Idec Inc.	 
BRCM, Broadcom Corporation
BA, Buenos Aires Stock Exchange	 
SA, BOVESPA - Sao Paolo Stock Exchange
BM, Bremen Stock Exchange
BE, Berlin Stock Exchange
BO, Bombay Stock Exchange
BC, Barcelona Stock Exchange
BI, Bilbao Stock Exchange
CHRW, C.H. Robinson Worldwide Inc.	 
CA, CA Inc.	 	 
CTRX, Catamaran Corporation	 
CELG, Celgene Corporation	 
CERN, Cerner Corporation	 
CHTR, Charter Communications Inc.	 
CHKP, Check Point Software Technologies Ltd.
CBT, Chicago Board of Trade
CME, Chicago Mercantile Exchange	 
CSCO, Cisco Systems Inc.	 
CTXS, Citrix Systems Inc.	 
CTSH, Cognizant Technology Solutions Corporation	 
CMCSA, Comcast Corporation	 
COST, Costco Wholesale Corporation	 
CO, Copenhagen Stock Exchange
DTV, DIRECTV
DISCA, Discovery Communications Inc.	 
DISCK, Discovery Communications Inc.	 
DISH, DISH Network Corporation	 
DLTR, Dollar Tree Inc.	 
DU, Dusseldorf Stock Exchange
EBAY, eBay Inc.	 
EQIX, Equinix Inc.
NX, Euronext	 
EXPE, Expedia Inc.	 
EXPD, Expeditors International of Washington Inc.	 
ESRX, Express Scripts Holding Company	 
FFIV, F5 Networks Inc.	 
FB, Facebook Inc.
FAST, Fastenal Company	 
FISV, Fiserv Inc.	 
F, Frankfurt Stock Exchange
GRMN, Garmin Ltd.	 
GILD, Gilead Sciences Inc.	 
GOOG, Google Inc.	 
GOOGL, Google Inc.	 
HSIC, Henry Schein Inc.	 
HK, Hong Kong Stock Exchange
HM, Hamburg Stock Exchange
HA, Hanover Stock Exchange
ILMN, Illumina Inc.	 
INTC, Intel Corporation	 
INTU, Intuit Inc.	 
ISRG, Intuitive Surgical Inc.	 
JK, Jakarta Stock Exchange
GMCR, Keurig Green Mountain Inc.	 
KLAC, KLA-Tencor Corporation
KRFT, Kraft Foods Group Inc.	 
KS, Korea Stock Exchange
KQ, KOSDAQ
LBTYA, Liberty Global plc	 
LVNTA, Liberty Interactive Corporation	 
QVCA, Liberty Interactive Corporation	 
LMCA, Liberty Media Corporation	 
LMCK, Liberty Media Corporation	 
LLTC, Linear Technology Corporation	 
L, London Stock Exchange
MAR, Marriott International	 	 
MAT, Mattel Inc.	 	 
MXIM, Maxim Integrated Products Inc.	 
MU, Micron Technology Inc.	 	 
MSFT, Microsoft Corporation	 
MDLZ, Mondelez International Inc.	 
MNST, Monster Beverage Corporation	 
MYL, Mylan Inc.	 	 
MF, Madrid Fixed Income Market
MC, Madrid SE C.A.T.S.
MA, Madrid Stock Exchange
MI, Milan Stock Exchange
MX, Mexico Stock Exchange
MU, Munich Stock Exchange
NS, National Stock Exchange of India
NTAP, NetApp Inc.	 
NZ, New Zealand Stock Exchange
NYB, New York Board of Trade
CMX, New York Commodities Exchange
NYM, New York Mercantile Exchange
NFLX, Netflix Inc.	 
NVDA, NVIDIA Corporation	 
NXPI, NXP Semiconductors N.V.
ORLY, O'Reilly Automotive Inc.
OL, Oslo Stock Exchange
OB, OTC Bulletin Board Market	 
PCAR, PACCAR Inc.	 
PA, Paris Stock Exchange
PAYX,Paychex Inc.
PK, Pink Sheets
QCOM, QUALCOMM Incorporated	 
REGN, Regeneron Pharmaceuticals Inc.	 
ROST, Ross Stores Inc.	 
SNDK, SanDisk Corporation	 
SBAC, SBA Communications Corporation	 
STX, Seagate Technology.	 	 
SIAL, Sigma-Aldrich Corporation	 
SIRI, Sirius XM Holdings Inc.	 
SPLS, Staples Inc.	 
SBUX, Starbucks Corporation	 
SRCL, Stericycle Inc.	 
SYMC, Symantec Corporation	 
SN, Santiago Stock Exchange
SS, Shanghai Stock Exchange
SZ, Shenzhen Stock Exchange
ST, Stockholm Stock Exchange
SW, Swiss Exchange
SG, Stuttgart Stock Exchange
SI, Singapore Stock Exchange
TSLA, Tesla Motors Inc.	 
TXN, Texas Instruments Incorporated	 	 
PCLN, The Priceline Group Inc.	 
TSCO, Tractor Supply Company	 
TRIP, TripAdvisor Inc.	 
FOXA, Twenty-First Century Fox Inc.
TWO, Taiwan OTC Exchange
TW, Taiwan Stock Exchange
TA, Tel Aviv Stock Exchange
TO, Toronto Stock Exchange
V, TSX Venture Exchange
VRSK, Verisk Analytics Inc.	 
VRTX, Vertex Pharmaceuticals Incorporated	 
VIAB, Viacom Inc.	 
VIP, VimpelCom Ltd.	 	 
VI,Vienna Stock Exchange
VOD, Vodafone Group Plc	 	 
WDC, Western Digital Corporation	 	 
WFM, Whole Foods Market Inc.	 	 
WYNN, Wynn Resorts Limited	 
XLNX, Xilinx Inc.	 
DE, XETRA Stock Exchange
YHOO, Yahoo! Inc.
